student_no,subject,location,spcl_prog_text,resident,s1_gender,class,checkin date
1034612,Math,MHG Front Desk,ADM SAI,1,M,4,17-Oct-13
1034612,Math,MHG Front Desk,ADM SAI,1,M,4,21-Oct-13
1034612,Math,MHG Front Desk,ADM SAI,1,M,4,28-Oct-13
1034612,Math,MHG Front Desk,ADM SAI,1,M,4,5-Nov-13
1034612,Math,MHG Front Desk,ADM SAI,1,M,4,7-Nov-13
1034612,Physics,MHG Front Desk,ADM SAI,1,M,4,8-Oct-13
1034612,Physics,MHG Front Desk,ADM SAI,1,M,4,13-Oct-13
1034612,Physics,MHG Front Desk,ADM SAI,1,M,4,3-Nov-13
1034612,Physics,MHG Front Desk,ADM SAI,1,M,4,12-Nov-13
1034612,Physics,MHG Front Desk,ADM SAI,1,M,4,14-Nov-13
1034612,Physics,MHG Front Desk,ADM SAI,1,M,4,18-Nov-13
1034612,Physics,MHG Front Desk,ADM SAI,1,M,4,24-Nov-13
1034612,Physics,MHG Front Desk,ADM SAI,1,M,4,24-Apr-14
1034612,Physics,MHG Front Desk,ADM SAI,1,M,4,4-May-14
1034612,Physics,MHG Front Desk,ADM SAI,1,M,4,7-May-14
1034612,Physics,MHG Front Desk,ADM SAI,1,M,4,13-May-14
1034612,Physics,MHG Front Desk,ADM SAI,1,M,4,18-May-14
1034612,Physics,MHG Front Desk,ADM SAI,1,M,4,26-May-14
1034612,Physics,MHG Front Desk,ADM SAI,1,M,4,26-May-14
1034612,Physics,MHG Front Desk,ADM SAI,1,M,4,26-May-14
1034612,Physics,MHG Front Desk,ADM SAI,1,M,4,27-May-14
1034612,Physics,MHG Front Desk,ADM SAI,1,M,4,1-Jun-14
1137661,Commuter Commons,HUB Commuter Commons,ADM SAI,1,F,4,28-Feb-14
1161257,Commuter Commons,HUB Commuter Commons,ADM SAI,3,F,4,9-Oct-13
1166184,Commuter Commons,HUB Commuter Commons,ADM SAI,1,M,3,18-Feb-14
1166184,Commuter Commons,HUB Commuter Commons,ADM SAI,1,M,3,29-Apr-14
1166184,Commuter Commons,HUB Commuter Commons,ADM SAI,1,M,3,14-May-14
1166197,Commuter Commons,HUB Commuter Commons,ADM SAI,1,M,2,13-Nov-13
1166197,Commuter Commons,HUB Commuter Commons,ADM SAI,1,M,2,21-Nov-13
1166197,Commuter Commons,HUB Commuter Commons,ADM SAI,1,M,2,4-Dec-13
1166197,Commuter Commons,HUB Commuter Commons,ADM SAI,1,M,2,5-Dec-13
1166197,Commuter Commons,HUB Commuter Commons,ADM SAI,1,M,2,8-Jan-14
1166197,Commuter Commons,HUB Commuter Commons,ADM SAI,1,M,2,22-Jan-14
1166197,Commuter Commons,HUB Commuter Commons,ADM SAI,1,M,2,6-Feb-14
1166197,Commuter Commons,HUB Commuter Commons,ADM SAI,1,M,2,13-Feb-14
1166197,Commuter Commons,HUB Commuter Commons,ADM SAI,1,M,2,7-May-14
1167084,Math,MHG Front Desk,ADM SAI,1,F,2,13-Nov-13
1167787,Math,MHG Front Desk,ADM SAI,1,M,2,18-Feb-14
1240596,Commuter Commons,HUB Commuter Commons,ADM SAI,1,M,4,11-Oct-13
1240596,Commuter Commons,HUB Commuter Commons,ADM SAI,1,M,4,8-Jan-14
1262193,Chem,HUB Commuter Commons,ADM SAI,1,M,1,25-Sep-13
1262193,Chem,HUB Commuter Commons,ADM SAI,1,M,1,27-Sep-13
1262193,Chem,HUB Commuter Commons,ADM SAI,1,M,1,30-Sep-13
1262193,Chem,HUB Commuter Commons,ADM SAI,1,M,1,2-Oct-13
1262193,Commuter Commons,HUB Commuter Commons,ADM SAI,1,M,1,7-Oct-13
1262193,Commuter Commons,HUB Commuter Commons,ADM SAI,1,M,1,9-Oct-13
1262193,Commuter Commons,HUB Commuter Commons,ADM SAI,1,M,1,11-Oct-13
1262193,Commuter Commons,HUB Commuter Commons,ADM SAI,1,M,1,11-Oct-13
1262193,Commuter Commons,HUB Commuter Commons,ADM SAI,1,M,1,14-Oct-13
1262193,Commuter Commons,HUB Commuter Commons,ADM SAI,1,M,1,16-Oct-13
1262193,Commuter Commons,HUB Commuter Commons,ADM SAI,1,M,1,18-Oct-13
1262193,Commuter Commons,HUB Commuter Commons,ADM SAI,1,M,1,21-Oct-13
1263346,Math,MHG Front Desk,ADM SAI,1,M,2,27-Jan-14
1263347,Math,MHG Front Desk,ADM SAI,1,F,2,9-Oct-13
1263347,Math,MHG Front Desk,ADM SAI,1,F,2,15-Oct-13
1267107,Physics,MHG Front Desk,ADM SAI,1,M,4,17-Apr-14
1267107,Physics,MHG Front Desk,ADM SAI,1,M,4,29-May-14
1268906,Chem,MHG Front Desk,ADM SAI,1,F,2,22-Oct-13
1268906,Chem,MHG Front Desk,ADM SAI,1,F,2,28-Oct-13
1268906,Chem,MHG Front Desk,ADM SAI,1,F,2,29-Oct-13
1268906,CSE,MHG Front Desk,ADM SAI,1,F,2,21-Apr-14
1268906,Math,MHG Front Desk,ADM SAI,1,F,2,9-Oct-13
1268906,Math,MHG Front Desk,ADM SAI,1,F,2,21-Oct-13
1268906,Math,MHG Front Desk,ADM SAI,1,F,2,28-Oct-13
1268906,Math,MHG Front Desk,ADM SAI,1,F,2,30-Oct-13
1268906,Math,MHG Front Desk,ADM SAI,1,F,2,18-Nov-13
1268906,Math,MHG Front Desk,ADM SAI,1,F,2,15-Apr-14
1268906,Math,MHG Front Desk,ADM SAI,1,F,2,21-Apr-14
1310385,Chem,MHG Front Desk,ADM SAI,1,M,3,12-Nov-13
1310385,Chem,MHG Front Desk,ADM SAI,1,M,3,18-Feb-14
1310385,Chem,MHG Front Desk,ADM SAI,1,M,3,16-Mar-14
1310385,Math,MHG Front Desk,ADM SAI,1,M,3,30-Oct-13
1310385,Math,MHG Front Desk,ADM SAI,1,M,3,5-Nov-13
1310385,Math,MHG Front Desk,ADM SAI,1,M,3,18-Nov-13
1310385,Math,MHG Front Desk,ADM SAI,1,M,3,16-Jan-14
1310385,Math,MHG Front Desk,ADM SAI,1,M,3,30-Jan-14
1310385,Math,MHG Front Desk,ADM SAI,1,M,3,13-Feb-14
1310385,Math,MHG Front Desk,ADM SAI,1,M,3,23-Feb-14
1310385,Math,MHG Front Desk,ADM SAI,1,M,3,24-Feb-14
1310385,Math,MHG Front Desk,ADM SAI,1,M,3,25-Feb-14
1310385,Math,MHG Front Desk,ADM SAI,1,M,3,26-Feb-14
1310385,Math,MHG Front Desk,ADM SAI,1,M,3,27-Feb-14
1310385,Math,MHG Front Desk,ADM SAI,1,M,3,10-Mar-14
1310385,Math,MHG Front Desk,ADM SAI,1,M,3,11-Mar-14
1310385,Math,MHG Front Desk,ADM SAI,1,M,3,12-Mar-14
1310385,Math,MHG Front Desk,ADM SAI,1,M,3,13-Mar-14
1310385,Physics,MHG Front Desk,ADM SAI,1,M,3,29-Apr-14
1310385,Physics,MHG Front Desk,ADM SAI,1,M,3,13-May-14
1321688,Chem,MHG Front Desk,ADM SAI,1,M,2,9-Oct-13
1321688,Chem,MHG Front Desk,ADM SAI,1,M,2,15-Oct-13
1321688,Chem,MHG Front Desk,ADM SAI,1,M,2,16-Oct-13
1321688,Math,MHG Front Desk,ADM SAI,1,M,2,6-Apr-14
1321688,Math,MHG Front Desk,ADM SAI,1,M,2,21-Apr-14
1341363,Commuter Commons,HUB Commuter Commons,ADM SAI,1,F,4,16-Oct-13
